번호,지역,상호,주소,기간,상표,셀프여부,휘발유,경유,year,month,week,high_class
A0000045,서울 종로구,SK북악주유소,서울 종로구 평창문화로 137,2019년 02월 1주,SK에너지,일반,1798.0,1698.0,2019,2,1,Y
A0000045,서울 종로구,SK북악주유소,서울 종로구 평창문화로 137,2019년 02월 2주,SK에너지,일반,1798.0,1698.0,2019,2,2,Y
A0000045,서울 종로구,SK북악주유소,서울 종로구 평창문화로 137,2019년 02월 3주,SK에너지,일반,1798.0,1698.0,2019,2,3,Y
A0000045,서울 종로구,SK북악주유소,서울 종로구 평창문화로 137,2019년 02월 4주,SK에너지,일반,1798.0,1698.0,2019,2,4,Y
A0000045,서울 종로구,SK북악주유소,서울 종로구 평창문화로 137,2019년 03월 1주,SK에너지,일반,1798.0,1698.0,2019,3,1,Y
A0000045,서울 종로구,SK북악주유소,서울 종로구 평창문화로 137,2019년 03월 2주,SK에너지,일반,1798.0,1698.0,2019,3,2,Y
A0000045,서울 종로구,SK북악주유소,서울 종로구 평창문화로 137,2019년 03월 3주,SK에너지,일반,1848.0,1748.0,2019,3,3,Y
A0000045,서울 종로구,SK북악주유소,서울 종로구 평창문화로 137,2019년 03월 4주,SK에너지,일반,1848.0,1748.0,2019,3,4,Y
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 01월 1주,SK에너지,셀프,1937.86,1761.86,2019,1,1,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 01월 2주,SK에너지,셀프,1925.0,1749.0,2019,1,2,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 01월 3주,SK에너지,셀프,1925.0,1749.0,2019,1,3,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 01월 4주,SK에너지,셀프,1925.0,1749.0,2019,1,4,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 01월 5주,SK에너지,셀프,1925.0,1756.14,2019,1,5,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 02월 1주,SK에너지,셀프,1925.0,1759.0,2019,2,1,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 02월 2주,SK에너지,셀프,1925.0,1759.0,2019,2,2,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 02월 3주,SK에너지,셀프,1925.0,1759.0,2019,2,3,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 02월 4주,SK에너지,셀프,1925.0,1759.0,2019,2,4,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 03월 1주,SK에너지,셀프,1925.0,1759.0,2019,3,1,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 03월 2주,SK에너지,셀프,1942.14,1776.14,2019,3,2,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 03월 3주,SK에너지,셀프,1977.86,1794.71,2019,3,3,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),2019년 03월 4주,SK에너지,셀프,1995.0,1799.0,2019,3,4,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 01월 1주,S-OIL,셀프,1399.0,1299.0,2019,1,1,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 01월 2주,S-OIL,셀프,1399.0,1299.0,2019,1,2,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 01월 3주,S-OIL,셀프,1399.0,1299.0,2019,1,3,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 01월 4주,S-OIL,셀프,1399.0,1299.0,2019,1,4,N
